Value,Default
[`kubeflow_tools.poddefaults_webhook.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1997),`false`
[`kubeflow_tools.poddefaults_webhook.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2003),`[]`
[`kubeflow_tools.poddefaults_webhook.images.poddefaultsWebhook.repository`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2009),"`""docker.io/kubeflownotebookswg/poddefaults-webhook""`"
[`kubeflow_tools.poddefaults_webhook.images.poddefaultsWebhook.tag`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2010),`nil`
