Value,Default
[`kubeflow_tools.volumes.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.4/generator/default_values.yaml#L2060),`false`
[`kubeflow_tools.volumes.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.4/generator/default_values.yaml#L2066),`[]`
[`kubeflow_tools.volumes.images.volumesWebApp.repository`](https://github.com/deployKF/deployKF/blob/v0.1.4/generator/default_values.yaml#L2072),"`""docker.io/kubeflownotebookswg/volumes-web-app""`"
[`kubeflow_tools.volumes.images.volumesWebApp.tag`](https://github.com/deployKF/deployKF/blob/v0.1.4/generator/default_values.yaml#L2073),`nil`
