Value,Default
[`kubeflow_tools.tensorboards.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1838),`false`
[`kubeflow_tools.tensorboards.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1844),`[]`
[`kubeflow_tools.tensorboards.images.tensorboardController.repository`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1850),"`""docker.io/kubeflownotebookswg/tensorboard-controller""`"
[`kubeflow_tools.tensorboards.images.tensorboardController.tag`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1851),`nil`
[`kubeflow_tools.tensorboards.images.tensorboardsWebApp.repository`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1854),"`""docker.io/kubeflownotebookswg/tensorboards-web-app""`"
[`kubeflow_tools.tensorboards.images.tensorboardsWebApp.tag`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1855),`nil`
[`kubeflow_tools.tensorboards.images.kubeRbacProxy.repository`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1858),"`""gcr.io/kubebuilder/kube-rbac-proxy""`"
[`kubeflow_tools.tensorboards.images.kubeRbacProxy.tag`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1859),`nil`
[`kubeflow_tools.tensorboards.tensorboardImage`](https://github.com/deployKF/deployKF/blob/v0.1.1/generator/default_values.yaml#L1864),"`""docker.io/tensorflow/tensorflow:2.5.1""`"
