Value,Default
[`kubeflow_tools.volumes.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2070),`false`
[`kubeflow_tools.volumes.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2076),`[]`
[`kubeflow_tools.volumes.images.volumesWebApp.repository`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2082),"`""docker.io/kubeflownotebookswg/volumes-web-app""`"
[`kubeflow_tools.volumes.images.volumesWebApp.tag`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L2083),`nil`
