Value,Default
[`kubeflow_tools.tensorboards.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1809),`false`
[`kubeflow_tools.tensorboards.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1815),`[]`
[`kubeflow_tools.tensorboards.images.tensorboardController.repository`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1821),"`""docker.io/kubeflownotebookswg/tensorboard-controller""`"
[`kubeflow_tools.tensorboards.images.tensorboardController.tag`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1822),`nil`
[`kubeflow_tools.tensorboards.images.tensorboardsWebApp.repository`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1825),"`""docker.io/kubeflownotebookswg/tensorboards-web-app""`"
[`kubeflow_tools.tensorboards.images.tensorboardsWebApp.tag`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1826),`nil`
[`kubeflow_tools.tensorboards.images.kubeRbacProxy.repository`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1829),"`""gcr.io/kubebuilder/kube-rbac-proxy""`"
[`kubeflow_tools.tensorboards.images.kubeRbacProxy.tag`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1830),`nil`
[`kubeflow_tools.tensorboards.tensorboardImage`](https://github.com/deployKF/deployKF/blob/v0.1.0/generator/default_values.yaml#L1835),"`""docker.io/tensorflow/tensorflow:2.5.1""`"
