deployKF,`0.1`
[Dex](https://dexidp.io/)<sub><br>`deploykf-auth`</sub>,(`2.37`)
[OAuth2 Proxy](https://oauth2-proxy.github.io/oauth2-proxy/)<sub><br>`deploykf-auth`</sub>,"<s>`7.4`</s>, (`7.5`)"
[deployKF Dashboard](https://github.com/deployKF/dashboard)<sub><br>`deploykf-dashboard`</sub>,(`0.1`)
[KF: Access Management API](https://github.com/kubeflow/kubeflow/tree/master/components/access-management)<sub><br>`deploykf-dashboard`</sub>,(`1.7`)
[KF: Profile Controller](https://github.com/kubeflow/kubeflow/tree/master/components/profile-controller)<sub><br>`deploykf-dashboard`</sub>,(`1.7`)
